AÑO,CVE_ENT,ENTIDAD,CVE_MUN,MUNICIPIO,CVE_DDR,DISTRITO,CVE_CADER,CADER,CVE_CICLO,CICLE,CVE_MODALIDAD,MODALIDAD,CVE_UNIDAD,UNIDAD_MEDIDA,CVE_CULTIVO,CULTIVO,SUPERFICIE_SEMBRADA,SUPERFICIE_COSECHADA,SUPERFICIE_SINIESTRADA,VOLUMEN_PRODUCCION,RENDIMIENTO,PRECIO,VALOR_PRODUCCION
1987,24,San Luis Potosí,999,,,,,,3,Perennes,1,Riego,200201,Tonelada,5060000,Aguacate,114.0,89.0,0.0,674.0,7.57,500.0,337000.0
1987,25,Sinaloa,999,,,,,,3,Perennes,1,Riego,200201,Tonelada,5060000,Aguacate,796.0,478.0,0.0,6457.0,13.51,432.16,2790425.0
1987,25,Sinaloa,999,,,,,,3,Perennes,2,Temporal,200201,Tonelada,5060000,Aguacate,194.0,194.0,0.0,3182.0,16.4,480.0,1527360.0
1987,26,Sonora,999,,,,,,3,Perennes,1,Riego,200201,Tonelada,5060000,Aguacate,33.0,30.0,0.0,300.0,10.0,593.66,178098.0
1987,28,Tamaulipas,999,,,,,,3,Perennes,1,Riego,200201,Tonelada,5060000,Aguacate,172.0,165.0,0.0,1453.0,8.81,167.5,243373.0
1987,30,Veracruz,999,,,,,,3,Perennes,1,Riego,200201,Tonelada,5060000,Aguacate,69.0,69.0,0.0,552.0,8.0,225.0,124200.0
1987,30,Veracruz,999,,,,,,3,Perennes,2,Temporal,200201,Tonelada,5060000,Aguacate,2167.0,2167.0,0.0,14165.0,6.54,236.0,3342940.0
1987,31,Yucatán,999,,,,,,3,Perennes,1,Riego,200201,Tonelada,5060000,Aguacate,341.0,194.0,0.0,3640.0,18.76,181.87,661996.0
1987,31,Yucatán,999,,,,,,3,Perennes,2,Temporal,200201,Tonelada,5060000,Aguacate,302.0,174.0,0.0,3708.0,21.31,200.0,741600.0
1987,32,Zacatecas,999,,,,,,3,Perennes,1,Riego,200201,Tonelada,5060000,Aguacate,111.0,98.0,0.0,1257.0,12.83,506.33,636461.0
1988,1,Aguascalientes,999,,,,,,3,Perennes,1,Riego,200201,Tonelada,5060000,Aguacate,8.0,8.0,0.0,64.0,8.0,500.0,32000.0
